7833
241,1488844,3,2005-09-06
51,822109,5,2005-05-13
248,885013,4,2005-10-19
15,30878,4,2005-12-26
184,823519,3,2004-05-03
29,893988,3,2005-11-17
31,124105,4,2004-08-05
202,1248029,3,2004-04-22
169,1842128,4,2004-05-09
228,2238063,3,2005-05-11
57,1503895,4,2005-05-19
13,2207774,5,2005-06-06
88,2590061,3,2004-08-12
128,2442,3,2004-04-14
44,543865,4,2004-05-28
227,1209119,4,2004-03-23
246,804919,4,2004-06-10
210,1086807,3,2004-12-28
182,1711859,4,2005-05-08
49,372233,5,2005-11-23
200,1080361,3,2005-03-28
102,1245640,3,2005-12-19
215,558634,4,2004-12-14
197,2165002,4,2004-04-06
159,1181550,3,2004-02-01
35,1227322,4,2004-02-06
163,427928,4,2004-02-26
6,814701,5,2005-09-29
66,808731,4,2005-10-31
161,662870,5,2005-08-24
96,337541,5,2005-03-23
162,786312,3,2004-11-16
185,1133214,4,2004-03-07
153,1537427,4,2004-03-29
172,1209954,5,2005-05-09
199,2381599,3,2005-09-12
15,525356,2,2004-07-11
189,1910569,4,2004-04-12
18,2263586,4,2004-08-20
6,2421815,2,2004-02-26
52,1009622,1,2005-01-19
46,1481961,2,2005-05-24
56,401047,4,2005-06-03
56,2179073,3,2004-08-29
67,1434636,3,2004-05-01
136,93986,5,2005-10-06
119,1308744,5,2005-10-29
188,2647871,4,2005-12-30
228,1905581,5,2005-08-16
97,2508819,3,2004-05-18
52,1578279,1,2005-05-19
17,1159695,4,2005-02-15
91,2588432,3,2005-03-31
208,2423091,3,2005-09-12
150,470232,4,2004-04-08
193,2148699,2,2004-06-05
129,1342007,3,2004-07-16
134,466135,4,2004-07-13
170,2472440,3,2005-08-13
95,1283744,3,2004-04-17
30,1927580,4,2004-11-08
176,716874,5,2005-05-06
64,4326,4,2005-10-29
97,1546549,5,2004-07-20
226,1493697,1,2005-11-01
21,880166,5,2005-07-12
203,535396,2,2005-02-03
49,494609,4,2004-12-08
118,1961619,5,2005-06-01
231,883478,4,2005-12-16
142,793564,4,2004-04-19
68,1567202,2,2004-03-01
214,573537,4,2005-02-03
35,1972040,4,2005-06-02
88,1838912,3,2005-11-08
45,411705,4,2004-05-11
208,2244518,5,2004-09-15
23,584542,5,2005-02-01
2,667730,5,2005-05-26
67,2488120,5,2005-09-20
180,1926776,1,2005-10-05
127,38052,3,2004-06-03
101,1196100,4,2004-10-30
243,314933,3,2005-09-12
148,1792741,2,2004-02-09
225,769643,1,2004-11-18
93,2477242,5,2005-01-30
212,1421006,3,2005-08-03
53,729846,4,2005-08-09
96,1719610,2,2005-08-19
55,1696031,4,2005-01-25
234,1817215,4,2005-09-01
185,406057,4,2004-09-27
227,636262,1,2005-09-26
178,1245406,4,2004-12-30
66,1834590,3,2005-02-05
217,593225,3,2004-07-11
70,1011918,4,2005-05-28
110,1665054,4,2005-07-06
87,2630337,5,2005-03-10
37,1155747,3,2005-07-03
184,2439493,1,2004-02-06
143,479924,5,2005-08-02
118,530789,5,2005-03-29
18,765860,4,2005-06-13
47,231001,3,2005-01-03
